FileName,ArgumentsPerOperation,AveragePathLength,BiggestRootCoverage,DataWeight,DistinctMessageRatio,LackOfMessageLevelCohesion,LongestPath,NumberOfRootPaths,ServiceInterfaceDataCohesion,WeightedServiceInterfaceCount,ApiFormat
amazonaws.com-cloudsearchdomain-2013-01-01-swagger.yaml.json,15,2.3333,1,63,0.8889,0.6905,3,1,0.6667,3,openapi
amazonaws.com-cloudtrail-2013-11-01-swagger.yaml.json,9.1429,1,0.0714,201,0.1141,0.6637,1,14,1,14,openapi
amazonaws.com-codebuild-2016-10-06-swagger.yaml.json,9,1,0.0526,406,0.3699,0.692,1,19,0.8977,19,openapi
amazonaws.com-codecommit-2015-04-13-swagger.yaml.json,9.2963,1,0.0185,913,0.0844,0.6852,1,54,1,54,openapi
amazonaws.com-codedeploy-2014-10-06-swagger.yaml.json,9.1304,1,0.0217,621,0.1755,0.6937,1,46,1,46,openapi
amazonaws.com-codepipeline-2015-07-09-swagger.yaml.json,9.2778,1,0.0278,485,0.2637,0.722,1,36,1,36,openapi
amazonaws.com-codestar-2017-04-19-swagger.yaml.json,9,1,0.0556,238,0.2727,0.6475,1,18,1,18,openapi
amazonaws.com-cognito-identity-2014-06-30-swagger.yaml.json,9,1,0.0476,243,0.1856,0.647,1,21,1,21,openapi
amazonaws.com-cognito-idp-2016-04-18-swagger.yaml.json,9.18,1,0.01,1552,0.1113,0.7024,1,100,1,100,openapi
amazonaws.com-cognito-sync-2014-06-30-swagger.yaml.json,9.7059,4.1667,1,306,0.2155,0.5306,8,1,1,17,openapi
amazonaws.com-comprehend-2017-11-27-swagger.yaml.json,9.3556,1,0.0222,676,0.1573,0.6597,1,45,1,45,openapi
amazonaws.com-comprehendmedical-2018-10-30-swagger.yaml.json,9,1,0.0909,165,0.1429,0.5758,1,11,1,11,openapi
amazonaws.com-config-2014-11-12-swagger.yaml.json,9.0781,1,0.0156,748,0.3201,0.6754,1,64,0.969,64,openapi
amazonaws.com-connect-2017-08-08-swagger.yaml.json,9.381,2.85,0.381,254,0.2013,0.6722,4,10,1,21,openapi
amazonaws.com-cur-2017-01-06-swagger.yaml.json,9.5,1,0.25,62,0.4118,0.7281,1,4,1,4,openapi
amazonaws.com-datapipeline-2012-10-29-swagger.yaml.json,9.2105,1,0.0526,284,0.2844,0.4899,1,19,1,19,openapi
amazonaws.com-datasync-2018-11-09-swagger.yaml.json,9.3704,1,0.037,401,0.3241,0.6868,1,27,1,27,openapi
amazonaws.com-dax-2017-04-19-swagger.yaml.json,9,1,0.0476,328,0.2025,0.6186,1,21,1,21,openapi
amazonaws.com-devicefarm-2015-06-23-swagger.yaml.json,9.209,1,0.0149,1145,0.1766,0.6085,1,67,1,67,openapi
amazonaws.com-directconnect-2012-10-25-swagger.yaml.json,8.9623,1,0.0189,1063,0.2863,0.645,1,53,1,53,openapi
amazonaws.com-discovery-2015-11-01-swagger.yaml.json,9.12,1,0.04,285,0.227,0.6329,1,25,1,25,openapi
